,NAME,POPULATION,BIKE_TO_WORK_EST,BIKE_TO_WORK_MARG,WALK_TO_WORK_EST,WALK_TO_WORK_MARG,DRIVE_SOLO_TO_WORK_EST,DRIVE_SOLO_TO_WORK_MARG,CARPOOL_TO_WORK_EST,CARPOOL_TO_WORK_MARG,PUBTRANS_TO_WORK_EST,PUBTRANS_TO_WORK_MARG,state,county,county_subdivision,COUNTY_NAME,City,County,BICYCLE_BY_AUTO_COUNT,BICYCLE_DEATH_BY_AUTO_COUNT,BICYCLE_SUSP_SERIOUS_INJ_BY_AUTO_COUNT,PED_BY_AUTO_COUNT,PED_DEATH_BY_AUTO_COUNT,PED_SUSP_SERIOUS_INJ_BY_AUTO_COUNT
97,"Aspen CCD, Pitkin County",9835,419,190,752,227,2872,459,257,150,690,221,8,97,90171,Pitkin County,aspen,pitkin,1.0,0.0,1.0,0.0,0.0,0.0
98,"Snowmass Village CCD, Pitkin County",7636,6,11,177,199,2588,641,86,65,1407,608,8,97,93344,Pitkin County,snowmass village,pitkin,0.0,0.0,0.0,0.0,0.0,0.0
99,"Granada CCD, Prowers County",963,0,13,2,4,357,101,36,20,0,13,8,99,91558,Prowers County,granada,prowers,0.0,0.0,0.0,0.0,0.0,0.0
100,"Lamar CCD, Prowers County",9613,0,18,28,25,3711,287,203,99,3,7,8,99,92147,Prowers County,lamar,prowers,3.0,1.0,2.0,0.0,0.0,0.0
101,"Avondale CCD, Pueblo County",2542,0,13,13,22,1093,259,60,49,0,13,8,101,90209,Pueblo County,avondale,pueblo,0.0,0.0,0.0,0.0,0.0,0.0
102,"Pueblo CCD, Pueblo County",117294,186,87,940,237,38319,1245,5299,572,313,120,8,101,92983,Pueblo County,pueblo,pueblo,10.0,0.0,10.0,11.0,2.0,9.0
103,"Pueblo West CCD, Pueblo County",33097,27,41,15,22,12179,717,1462,214,37,53,8,101,93002,Pueblo County,pueblo west,pueblo,2.0,0.0,2.0,1.0,0.0,1.0
104,"Hayden CCD, Routt County",3227,14,16,113,84,1391,274,109,69,14,19,8,107,91729,Routt County,hayden,routt,0.0,0.0,0.0,0.0,0.0,0.0
105,"Oak Creek CCD, Routt County",3532,0,13,28,24,1478,210,144,67,0,13,8,107,92717,Routt County,oak creek,routt,0.0,0.0,0.0,0.0,0.0,0.0
106,"Steamboat Springs CCD, Routt County",17449,516,165,353,157,6545,588,797,246,263,146,8,107,93496,Routt County,steamboat springs,routt,2.0,0.0,2.0,1.0,0.0,1.0
