,City,State,Country,BNA Score
872,Germantown,TN,US,16
873,Gibraltar,WI,US,36
874,Gilbert,AZ,US,27
875,Gillette,WY,US,27
876,Gilroy,CA,US,29
877,Glen Allen,VA,US,12
878,Glen Burnie,MD,US,16
879,Glen Ellyn,IL,US,8
880,Glen Rose,TX,US,13
881,Glendale,CO,US,47
882,Glendale,CA,US,19
883,Glendale,WI,US,35
884,Glendale,AZ,US,25
885,Godley,TX,US,31
886,Golden,CO,US,23
887,Goleta,CA,US,34
888,Goodyear,AZ,US,23
889,Goose Creek,SC,US,16
890,Granbury,TX,US,12
891,Grand Blanc,MI,US,22
892,Grand Forks,ND,US,57
893,Grand Haven,MI,US,59
894,Grand Island,NE,US,30
895,Grand Junction,CO,US,12
896,Grand Ledge,MI,US,49
897,Grand Marais,MN,US,28
898,Grand Prairie,TX,US,9
899,Grand Rapids,MN,US,11
900,Grand Rapids,MI,US,24
901,Grandview,TX,US,18
902,Grandview Heights,OH,US,24
903,Grandville,MI,US,41
904,Granger,IN,US,14
905,Grants,NM,US,14
906,Grants Pass,OR,US,30
907,Grapevine,TX,US,17
908,Grass Valley,CA,US,20
909,Grayson,GA,US,19
910,Great Falls,MT,US,36
911,Greece,NY,US,14
912,Greeley,CO,US,10
913,Green Bay,WI,US,38
914,Greenbelt,MD,US,12
915,Greenfield,MA,US,9
916,Greenlawn,NY,US,7
917,Greensboro,NC,US,7
918,Greenville,NC,US,12
919,Greenville,OH,US,30
920,Greenville,TX,US,10
921,Greenville,SC,US,16
922,Greenwich,CT,US,19
923,Greenwood Village,CO,US,20
924,Gresham,OR,US,20
925,Grosse Pointe Woods,MI,US,44
926,Grover Beach,CA,US,45
927,Guadalupe,CA,US,51
928,Gulf Shores,AL,US,29
929,Gulfport,MS,US,18
930,Gulfport,FL,US,3
931,Gunnison,CO,US,33
932,Gustine,CA,US,56
933,Hackberry,TX,US,14
934,Hackettstown,NJ,US,38
935,Hagerstown,MD,US,6
936,Hales Corners,WI,US,39
937,Half Moon Bay,CA,US,49
938,Haltom City,TX,US,6
939,Hamburg,MI,US,24
940,Hammond,IN,US,5
941,Hammonton,NJ,US,20
942,Hancocks Bridge,NJ,US,29
943,Hanover Park,IL,US,13
944,Hapeville,GA,US,7
945,Happy Valley,OR,US,19
946,Harleysville,PA,US,54
947,Harlingen,TX,US,7
948,Harrisburg,PA,US,27
949,Harrisonburg,VA,US,23
950,Hartford,CT,US,16
951,Haslet,TX,US,20
952,Hastings,MN,US,23
953,Hatch,NM,US,13
954,Hattiesburg,MS,US,18
955,Hayward,WI,US,58
956,Healdsburg,CA,US,48
957,Heath,TX,US,25
958,Heber,UT,US,33
959,Helena,MT,US,62
960,Henderson,NV,US,31
961,Herndon,VA,US,20
962,Hialeah,FL,US,4
963,Hickory,NC,US,7
964,Hickory Creek,TX,US,14
965,High Bridge,NJ,US,62
966,High Point,NC,US,7
967,Highland,IN,US,8
968,Highland,UT,US,26
969,Highland Park,IL,US,29
970,Highland Park,TX,US,10
971,Highland Village,TX,US,29
972,Highlands Ranch,CO,US,17
973,Hillman,MI,US,52
974,Hillsboro,OR,US,36
975,Hilo,HI,US,17
976,Hilton Head Island,SC,US,43
977,Hiram,GA,US,11
978,Hobe Sound,FL,US,15
979,Hoboken,NJ,US,62
980,Hoffman Estates,IL,US,41
981,Holbrook,MA,US,13
982,Holland,MI,US,38
983,Holly Springs,NC,US,16
984,Holt,MI,US,26
985,Holton,KS,US,11
986,Homewood,IL,US,7
987,Honolulu,HI,US,17
988,Hood River,OR,US,27
989,Hooksett,NH,US,21
990,Hoover,AL,US,22
991,Hopewell,VA,US,23
992,Hopkins,MN,US,24
993,Horn Lake,MS,US,21
994,Hot Springs,AR,US,6
995,Houston,TX,US,10
996,Hudson,WI,US,54
997,Hudson Oaks,TX,US,6
998,Hummelstown,PA,US,8
999,Huntersville,NC,US,10
1000,Huntington,WV,US,41
1001,Huntington Beach,CA,US,11
1002,Huntington Station,NY,US,6
1003,Huntsville,AL,US,21
1004,Hurst,TX,US,8
1005,Hutchins,TX,US,18
1006,Hutchinson,KS,US,4
1007,Idaho Falls,ID,US,13
1008,Idaho Springs,CO,US,23
1009,Imperial Beach,CA,US,42
1010,Independence,MO,US,32
1011,Indialantic,FL,US,17
1012,Indian Harbour Beach,FL,US,16
1013,Indianapolis,IN,US,10
1014,Indio,CA,US,14
1015,Inverness,FL,US,8
1016,Iola,KS,US,11
1017,Iowa City,IA,US,43
1018,Irmo,SC,US,10
1019,Irvine,CA,US,30
1020,Irving,TX,US,10
1021,Isla Vista,CA,US,61
1022,Issaquah,WA,US,39
1023,Italy,TX,US,14
1024,Ithaca,NY,US,9
1025,Jackson,MS,US,12
1026,Jackson,TN,US,16
1027,Jackson,MI,US,37
1028,Jackson,WY,US,79
1029,Jacksonville,FL,US,17
1030,Jacksonville Beach,FL,US,13
1031,Janesville,WI,US,40
1032,Jasper,AL,US,48
1033,Jefferson,WI,US,25
1034,Jefferson,GA,US,19
1035,Jersey City,NJ,US,27
1036,Johns Creek,GA,US,23
1037,Johnson City,TN,US,31
1038,Johnstown,CO,US,14
1039,Joliet,IL,US,9
1040,Jonesboro,AR,US,9
1041,Joplin,MO,US,23
1042,Josephine,TX,US,20
1043,Joshua,TX,US,16
1044,Juneau,AK,US,31
1045,Justin,TX,US,23
1046,Kailua,HI,US,26
1047,Kalamazoo,MI,US,30
1048,Kalispell,MT,US,38
1049,Kankakee,IL,US,5
1050,Kansas City,KS,US,8
1051,Kansas City,MO,US,28
1052,Kapolei,HI,US,17
1053,Katy,TX,US,15
1054,Kaufman,TX,US,14
1055,Kaunakakai,HI,US,48
1056,Kearney,NE,US,22
1057,Keene,NH,US,11
1058,Keene,TX,US,12
1059,Keller,TX,US,18
1060,Kemp,TX,US,22
1061,Kennedale,TX,US,11
1062,Kenner,LA,US,23
1063,Kennesaw,GA,US,14
1064,Kennewick,WA,US,15
1065,Kenosha,WI,US,38
1066,Kent,OH,US,37
1067,Kent,WA,US,20
1068,Kentwood,MI,US,27
1069,Kerens,TX,US,17
1070,Ketchum,ID,US,19
1071,Kettering,OH,US,33
1072,Key West,FL,US,66
1073,Kings Park,NY,US,10
1074,Kingsport,TN,US,14
1075,Kingston,NY,US,13
1076,Kirkland,WA,US,31
1077,Kittery,ME,US,22
1078,Klamath Falls,OR,US,29
1079,Knoxville,TN,US,28
1080,Krugerville,TX,US,19
1081,Krum,TX,US,21
1082,La Crescent,MN,US,17
1083,La Crosse,WI,US,60
1084,La Grange,IL,US,6
1085,La Mesa,CA,US,31
1086,La Porte,IN,US,16
1087,La Quinta,CA,US,27
1088,La Salle,CO,US,5
1089,La Verne,CA,US,12
1090,LaGrange,GA,US,10
1091,Lacey,WA,US,29
1092,Ladera Ranch,CA,US,19
1093,Lafayette,CA,US,19
1094,Lafayette,IN,US,11
1095,Lafayette,CO,US,29
1096,Lafayette,LA,US,16
1097,Laguna Beach,CA,US,33
1098,Laguna Niguel,CA,US,19
1099,Laguna Woods,CA,US,13
1100,Lahaina,HI,US,46
1101,Lake Charles,LA,US,17
1102,Lake Dallas,TX,US,15
1103,Lake Elsinore,CA,US,29
1104,Lake Geneva,WI,US,67
1105,Lake Grove,NY,US,9
1106,Lake Mary,FL,US,16
1107,Lake Mohegan,NY,US,14
1108,Lake Oswego,OR,US,20
1109,Lake Worth,TX,US,10
1110,Lakeland,FL,US,9
1111,Lakeside,TX,US,7
1112,Lakeville,MA,US,16
1113,Lakeville,MN,US,34
1114,Lakewood,CO,US,25
1115,Lakewood Ranch,FL,US,16
1116,Lamar,TX,US,30
1117,Lancaster,PA,US,25
1118,Lancaster,TX,US,10
1119,Lanesboro,MN,US,16
1120,Lansdale,PA,US,27
1121,Lansdowne,PA,US,36
1122,Lansing,MI,US,37
1123,Laramie,WY,US,9
1124,Larkspur,CO,US,31
1125,Las Cruces,NM,US,8
1126,Las Vegas,NM,US,7
1127,Las Vegas,NV,US,19
1128,Lavon,TX,US,25
1129,Lawrence,KS,US,42
1130,Lawrence,IN,US,12
1131,Lawrenceville,GA,US,16
1132,Leavenworth,KS,US,18
1133,Lebanon,OH,US,26
1134,Lebanon,PA,US,17
1135,Lebanon,NH,US,32
1136,Lebanon,IL,US,60
1137,Lee's Summit,MO,US,29
1138,Leesburg,VA,US,32
1139,Lehi,UT,US,30
1140,Leighton,AL,US,34
1141,Leland,NC,US,15
1142,Lenexa,KS,US,33
1143,Lewes,DE,US,26
1144,Lewisburg,KY,US,41
1145,Lewiston,MN,US,32
1146,Lewiston,ME,US,37
1147,Lewisville,TX,US,16
1148,Lexington,KY,US,20
1149,Lexington,MA,US,20
1150,Liberal,KS,US,5
1151,Liberty,UT,US,22
1152,Libertyville,IL,US,11
1153,Lilburn,GA,US,13
1154,Lima,OH,US,21
1155,Lincoln,NE,US,36
1156,Lincoln City,OR,US,38
1157,Lithonia,GA,US,6
1158,Little Elm,TX,US,17
1159,Little Rock,AR,US,12
1160,Littleton,NH,US,20
1161,Littleton,CO,US,17
1162,Live Oak,FL,US,11
1163,Livermore,CA,US,26
1164,Livonia,MI,US,38
1165,Lochbuie,CO,US,9
1166,Locust Grove,GA,US,18
1167,Lodi,CA,US,20
1168,Logan,UT,US,45
1169,Lombard,IL,US,11
1170,Lompoc,CA,US,58
1171,Lone Tree,CO,US,24
1172,Long Beach,CA,US,36
1173,Long Beach,NY,US,6
1174,Long Lake,MN,US,30
1175,Longmont,CO,US,59
1176,Longview,TX,US,9
1177,Lordsburg,NM,US,8
1178,Los Alamos,NM,US,22
1179,Los Altos,CA,US,28
1180,Los Angeles,CA,US,20
1181,Los Gatos,CA,US,20
1182,Louisville,CO,US,51
1183,Louisville,KY,US,9
1184,Loveland,CO,US,29
1185,Loves Park,IL,US,8
1186,Lowell,IN,US,9
1187,Lowell,MA,US,5
1188,Lowry Crossing,TX,US,21
1189,Lubbock,TX,US,7
1190,Lucas,TX,US,15
1191,Lynchburg,VA,US,22
1192,Lynnwood,WA,US,34
1193,Lyons,CO,US,23
1194,Mabank,TX,US,14
1195,Mackinac Island,MI,US,99
1196,Macomb,MI,US,18
1197,Macomb,IL,US,18
1198,Macon,GA,US,9
1199,Madison,AL,US,36
1200,Madison,WI,US,58
1201,Malden,MA,US,4
1202,Manassas,VA,US,31
1203,Manchester,CT,US,18
1204,Manchester,NH,US,11
1205,Mandeville,LA,US,29
1206,Manhasset,NY,US,15
1207,Manhattan,KS,US,12
1208,Manhattan,NY,US,42
1209,Manhattan Beach,CA,US,49
1210,Manitou Springs,CO,US,59
1211,Mankato,MN,US,18
1212,Mansfield,OH,US,14
1213,Mansfield,TX,US,21
1214,Maple Grove,MN,US,49
1215,Maplewood,MN,US,19
1216,Maplewood,NJ,US,24
1217,Marana,AZ,US,27
1218,Margate City,NJ,US,49
1219,Marietta,GA,US,11
1220,Marquette,MI,US,61
1221,Marrero,LA,US,22
1222,Marshfield,WI,US,69
1223,Maryville,TN,US,30
1224,Mason City,IA,US,14
1225,Massapequa,NY,US,5
1226,Massapequa Park,NY,US,3
1227,Massillon,OH,US,26
1228,Matthews,NC,US,17
1229,McAllen,TX,US,6
1230,McCook,IL,US,14
1231,McDonough,GA,US,17
1232,McKinney,TX,US,22
1233,McLean,VA,US,16
1234,McLendon-Chisholm,TX,US,11
1235,McMurray,PA,US,21
1236,Mead,CO,US,16
1237,Mechanicsburg,PA,US,24
1238,Medford,NJ,US,25
1239,Medford,OR,US,26
1240,Media,PA,US,40
1241,Melbourne,FL,US,15
1242,Melbourne Beach,FL,US,17
1243,Melissa,TX,US,21
1244,Melrose,MA,US,12
1245,Memphis,TN,US,12
1246,Menifee,CA,US,22
1247,Menlo Park,CA,US,41
1248,Menomonee Falls,WI,US,38
1249,Meriden,CT,US,14
1250,Meridian,ID,US,21
1251,Meridian,MS,US,20
1252,Merrick,NY,US,6
1253,Mesa,AZ,US,22
1254,Mesquite,TX,US,22
1255,Metairie,LA,US,26
1256,Miami,FL,US,22
1257,Miami Beach,FL,US,46
1258,Miami Gardens,FL,US,4
1259,Miami Springs,FL,US,4
1260,Miamisburg,OH,US,25
1261,Middlebury,VT,US,34
1262,Middleton,WI,US,39
1263,Middletown,DE,US,37
1264,Middletown,CT,US,24
1265,Midland,MI,US,48
1266,Midland,TX,US,9
1267,Midlothian,TX,US,13
1268,Midvale,UT,US,17
1269,Midway,KY,US,19
1270,Mifflinburg,PA,US,60
1271,Milford,NH,US,15
1272,Mill Valley,CA,US,35
1273,Millburn,NJ,US,31
1274,Millbury,MA,US,14
1275,Milliken,CO,US,15
1276,Milton,GA,US,12
1277,Milwaukee,WI,US,45
1278,Milwaukie,OR,US,25
1279,Mineral Wells,TX,US,9
1280,Minneapolis,MN,US,69
1281,Minnetonka,MN,US,28
1282,Minot,ND,US,26
1283,Mission,TX,US,6
1284,Missoula,MT,US,52
1285,Moab,UT,US,27
1286,Mobile,AL,US,22
1287,Modesto,CA,US,23
1288,Moline,IL,US,11
1289,Monona,WI,US,59
1290,Monroe,LA,US,22
1291,Montebello,CA,US,28
1292,Monterey,CA,US,43
1293,Montgomery,AL,US,21
1294,Montpelier,VT,US,19
1295,Montrose,CO,US,42
1296,Mooresville,NC,US,10
1297,Moreno Valley,CA,US,17
1298,Morgan City,LA,US,49
1299,Morgan Hill,CA,US,19
1300,Morgantown,WV,US,32
1301,Morrison,CO,US,32
1302,Morristown,NJ,US,37
1303,Morrisville,NC,US,18
1304,Morro Bay,CA,US,34
1305,Morrow,GA,US,14
1306,Morton,IL,US,12
1307,Moscow,ID,US,8
1308,Mosquero,NM,US,29
1309,Mount Dora,FL,US,8
1310,Mount Hope,OH,US,30
1311,Mount Juliet,TN,US,23
1312,Mount Pleasant,SC,US,14
1313,Mount Prospect,IL,US,8
1314,Mount Vernon,NY,US,2
1315,Mountain Home,AR,US,9
1316,Mountain View,CA,US,30
1317,Mundelein,IL,US,37
1318,Munster,IN,US,10
1319,Murdock,NE,US,84
1320,Murfreesboro,TN,US,31
1321,Murphy,TX,US,10
1322,Murrieta,CA,US,28
1323,Muskegon,MI,US,52
1324,Muskogee,OK,US,25
1325,Myrtle Beach,SC,US,13
1326,Mystic,CT,US,25
1327,Nantucket,MA,US,40
1328,Napa,CA,US,41
1329,Naperville,IL,US,17
1330,Naples,FL,US,10
1331,Narragansett,RI,US,14
1332,Narragansett Pier,RI,US,16
1333,Nashua,NH,US,14
1334,Nashville,TN,US,24
1335,Natick,MA,US,8
1336,Nederland,CO,US,16
1337,Needham,MA,US,6
1338,Neenah,WI,US,28
1339,Neptune City,NJ,US,11
1340,Nether Providence,PA,US,20
1341,Nevada,TX,US,21
1342,New Albany,OH,US,31
1343,New Berlin,WI,US,30
1344,New Brighton,MN,US,18
1345,New Brunswick,NJ,US,41
1346,New Fairview,TX,US,44
1347,New Hartford,NY,US,11
1348,New Haven,CT,US,21
1349,New Orleans,LA,US,21
1350,New Paltz,NY,US,16
1351,New Philadelphia,OH,US,31
1352,New Port Richey,FL,US,13
1353,New Smyrna Beach,FL,US,11
1354,New Ulm,MN,US,11
1355,New York,NY,US,55
1356,Newark,TX,US,15
1357,Newark,DE,US,32
1358,Newark,NJ,US,22
1359,Newburg,MO,US,37
1360,Newburgh,NY,US,6
1361,Newbury Park,CA,US,27
1362,Newburyport,MA,US,14
1363,Newington,CT,US,17
1364,Newnan,GA,US,14
1365,Newport,RI,US,13
1366,Newport News,VA,US,24
1367,Newton,MA,US,8
1368,Newton Hamilton,PA,US,18
1369,Noblesville,IN,US,20
1370,Nogales,AZ,US,29
1371,Norcross,GA,US,9
1372,Norfolk,VA,US,23
1373,Norfolk,NE,US,28
1374,Normal,IL,US,19
1375,Norman,OK,US,22
1376,North Augusta,SC,US,12
1377,North Bellmore,NY,US,5
1378,North Canton,OH,US,25
1379,North Kansas City,MO,US,24
1380,North Little Rock,AR,US,8
1381,North Miami,FL,US,5
1382,North Miami Beach,FL,US,9
1383,North Olmsted,OH,US,19
1384,North Platte,NE,US,23
1385,North Port,FL,US,6
1386,North Richland Hills,TX,US,12
1387,North Wildwood,NJ,US,56
1388,Northampton,MA,US,17
1389,Northbrook,IL,US,8
1390,Northfield,MN,US,17
1391,Northfield,NJ,US,38
1392,Northglenn,CO,US,26
1393,Northlake,TX,US,22
1394,Northport,NY,US,13
1395,Northville,MI,US,33
1396,Norwalk,CT,US,20
1397,Norwood,MA,US,8
1398,O'Fallon,MO,US,17
1399,Oak Leaf,TX,US,10
1400,Oak Park,IL,US,4
1401,Oak Point,TX,US,15
1402,Oakdale,MN,US,35
1403,Oakland,CA,US,40
1404,Oberlin,OH,US,67
1405,Ocala,FL,US,9
1406,Ocean City,NJ,US,60
1407,Ocean View,DE,US,15
1408,Oceanside,CA,US,27
1409,Ocoee,FL,US,10
1410,Odenton,MD,US,25
1411,Odessa,FL,US,40
1412,Ogden,UT,US,28
1413,Okemos,MI,US,24
1414,Oklahoma City,OK,US,22
1415,Olathe,KS,US,22
1416,Old Orchard,PA,US,41
1417,Old Orchard Beach,ME,US,22
1418,Old Saybrook,CT,US,31
1419,Olive Branch,MS,US,18
1420,Olmos Park,TX,US,5
1421,Olympia,WA,US,27
1422,Omaha,NE,US,31
1423,Opelika,AL,US,22
1424,Orange,CA,US,17
1425,Oregon City,OR,US,23
1426,Orem,UT,US,22
1427,Orland,CA,US,44
1428,Orlando,FL,US,24
1429,Ormond Beach,FL,US,13
1430,Oro Valley,AZ,US,36
1431,Orono,ME,US,29
1432,Oshkosh,WI,US,35
1433,Oswego,IL,US,38
1434,Oswego,NY,US,6
1435,Ottawa,KS,US,6
1436,Overland Park,KS,US,32
1437,Oviedo,FL,US,15
1438,Ovilla,TX,US,14
1439,Owensboro,KY,US,10
1440,Owings Mills,MD,US,17
1441,Oxford,GA,US,7
1442,Oxford,OH,US,44
1443,Oxford,MS,US,45
1444,Oxnard,CA,US,37
1445,Pacifica,CA,US,31
1446,Paducah,KY,US,4
1447,Palatine,IL,US,10
1448,Palm Coast,FL,US,12
1449,Palm Desert,CA,US,22
1450,Palm Springs,CA,US,29
1451,Palmer,TX,US,26
1452,Palmer Heights,PA,US,12
1453,Palmetto Bay,FL,US,5
1454,Palo Alto,CA,US,52
1455,Pantego,TX,US,11
1456,Paoli,PA,US,19
1457,Papillion,NE,US,36
1458,Paradise,NV,US,17
1459,Paramus,NJ,US,21
1460,Park City,UT,US,49
1461,Park Rapids,MN,US,10
1462,Park Ridge,IL,US,5
1463,Parker,TX,US,10
1464,Parker,CO,US,20
1465,Parkersburg,WV,US,18
1466,Parkland,FL,US,24
1467,Pasadena,CA,US,16
1468,Pasadena,TX,US,6
1469,Pasadena,MD,US,13
1470,Paso Robles,CA,US,19
1471,Paterson,NJ,US,13
1472,Pawtucket,RI,US,9
1473,Peachtree City,GA,US,40
1474,Peachtree Corners,GA,US,13
1475,Pekin,IL,US,7
1476,Pelham,AL,US,28
1477,Pelham Manor,NY,US,2
1478,Pelican Bay,TX,US,8
1479,Pella,IA,US,44
1480,Penn Yan,NY,US,9
1481,Penngrove,CA,US,8
1482,Pensacola,FL,US,23
1483,Pentwater,MI,US,43
1484,Peoria,AZ,US,21
1485,Peoria,IL,US,8
1486,Petaluma,CA,US,43
1487,Peters,PA,US,21
1488,Philadelphia,PA,US,57
1489,Phoenix,AZ,US,28
1490,Phoenixville,PA,US,21
1491,Pierre,SD,US,36
1492,Pilot Point,TX,US,15
1493,Pine,PA,US,22
1494,Pine Bluff,AR,US,6
1495,Pinecrest,FL,US,7
1496,Piscataway,NJ,US,22
1497,Pismo Beach,CA,US,23
1498,Pittsburgh,PA,US,28
1499,Pittsfield,MA,US,10
1500,Pittsfield Charter Township,MI,US,23
1501,Pittsford,NY,US,14
1502,Plainfield,NJ,US,61
1503,Plainfield,IL,US,17
1504,Plainview,NY,US,9
1505,Plano,TX,US,10
1506,Plantation,FL,US,20
1507,Plattsburgh,NY,US,9
1508,Pleasanton,CA,US,31
1509,Pocatello,ID,US,6
1510,Point Arena,CA,US,69
1511,Pomona,CA,US,22
1512,Pompano Beach,FL,US,9
1513,Ponder,TX,US,35
1514,Ponte Vedra,FL,US,25
1515,Pontiac,MI,US,28
1516,Port Angeles,WA,US,39
1517,Port Chester,NY,US,6
1518,Port Orchard,WA,US,21
1519,Port St. Lucie,FL,US,12
1520,Port Townsend,WA,US,65
1521,Port Washington,NY,US,15
1522,Portage,MI,US,44
1523,Portland,OR,US,58
1524,Portland,ME,US,31
1525,Portsmouth,NH,US,18
1526,Pottstown,PA,US,28
1527,Poway,CA,US,25
1528,Powder Springs,GA,US,15
1529,Powell,WY,US,12
1530,Prescott,AZ,US,37
1531,Presque Isle,ME,US,25
1532,Princeton,IL,US,12
1533,Princeton,TX,US,28
1534,Princeton,NJ,US,28
1535,Prior Lake,MN,US,33
1536,Prosper,TX,US,22
1537,Providence,RI,US,27
1538,Providence Village,TX,US,24
1539,Provincetown,MA,US,88
1540,Provo,UT,US,28
1541,Pueblo,CO,US,5
1542,Pullman,WA,US,47
1543,Putnam,CT,US,23
1544,Queens,NY,US,57
1545,Quincy,IL,US,6
1546,Quincy,CA,US,46
1547,Quinlan,TX,US,21
1548,Racine,WI,US,40
1549,Raleigh,NC,US,19
1550,Rancho Cordova,CA,US,25
1551,Rancho Cucamonga,CA,US,15
1552,Rancho Santa Margarita,CA,US,15
1553,Randolph,NJ,US,19
1554,Rapid City,SD,US,42
1555,Ravenna,OH,US,31
1556,Reading,PA,US,17
1557,Red Bank,NJ,US,19
1558,Red Oak,TX,US,21
1559,Red Wing,MN,US,18
1560,Redding,CA,US,20
1561,Redlands,CA,US,22
1562,Redmond,OR,US,21
1563,Redmond,WA,US,28
1564,Redondo Beach,CA,US,34
1565,Redwood City,CA,US,40
1566,Rehoboth Beach,DE,US,32
1567,Reidsville,GA,US,16
1568,Reminderville,OH,US,32
1569,Reno,TX,US,9
1570,Reno,NV,US,23
1571,Reston,VA,US,30
1572,Revere,MA,US,7
1573,Rexburg,ID,US,25
1574,Rhome,TX,US,28
1575,Rialto,CA,US,18
1576,Rice,TX,US,18
1577,Richardson,TX,US,14
1578,Richfield,MN,US,22
1579,Richfield,UT,US,27
1580,Richland,WA,US,22
1581,Richland Hills,TX,US,3
1582,Richmond,IN,US,9
1583,Richmond,VA,US,22
1584,Richmond,CA,US,28
1585,Ridgefield,CT,US,21
1586,Ridgeland,MS,US,23
1587,Ridgewood,NJ,US,32
1588,Rio Rancho,NM,US,8
1589,Rio Vista,TX,US,25
1590,River Falls,WI,US,46
1591,River Oaks,TX,US,4
1592,Riverside,CA,US,22
1593,Riverview,FL,US,22
1594,Roanoke,TX,US,28
1595,Roanoke,VA,US,25
1596,Roberta,GA,US,18
1597,Robinson,PA,US,27
1598,Rochester,MI,US,61
1599,Rochester,MN,US,38
1600,Rochester,NY,US,7
1601,Rock Hill,SC,US,12
1602,Rock Island,IL,US,7
1603,Rockaway,NJ,US,19
1604,Rockford,IL,US,7
1605,Rocklin,CA,US,20
1606,Rockville,MD,US,19
1607,Rockwall,TX,US,21
1608,Rocky Hill,CT,US,14
1609,Rogers,AR,US,31
1610,Rohnert Park,CA,US,47
1611,Romeo,MI,US,39
1612,Roseburg,OR,US,26
1613,Roseville,MN,US,20
1614,Roseville,CA,US,17
1615,Roswell,NM,US,6
1616,Roswell,GA,US,17
1617,Round Rock,TX,US,11
1618,Rowlett,TX,US,13
1619,Royal Oak,MI,US,39
1620,Royal Palm Beach,FL,US,18
1621,Royse City,TX,US,14
1622,Ruidoso,NM,US,8
1623,Runaway Bay,TX,US,28
1624,Russellville,AR,US,8
1625,Ruston,LA,US,23
1626,Rutland,VT,US,62
1627,Rye,NY,US,5
1628,Sachse,TX,US,10
1629,Sacramento,CA,US,32
1630,Saginaw,TX,US,30
1631,Saginaw,MI,US,22
1632,Salem,MA,US,11
1633,Salem,OR,US,20
1634,Salida,CO,US,64
1635,Salina,KS,US,5
1636,Salinas,CA,US,29
1637,Salisbury,MD,US,23
1638,Salt Lake City,UT,US,49
1639,San Angelo,TX,US,6
1640,San Antonio,TX,US,13
1641,San Bernardino,CA,US,15
1642,San Bruno,CA,US,23
1643,San Carlos,CA,US,36
1644,San Clemente,CA,US,28
1645,San Diego,CA,US,30
1646,San Elizario,TX,US,13
1647,San Francisco,CA,US,63
1648,San Jose,CA,US,28
1649,San Juan,PR,US,41
1650,San Juan Capistrano,CA,US,22
1651,San Luis,AZ,US,32
1652,San Luis Obispo,CA,US,63
1653,San Marcos,CA,US,32
1654,San Mateo,CA,US,38
1655,San Rafael,CA,US,29
1656,San Ramon,CA,US,30
1657,Sandpoint,ID,US,20
1658,Sandusky,OH,US,16
1659,Sandy,UT,US,22
1660,Sandy Springs,GA,US,9
1661,Sanford,FL,US,11
1662,Sanger,TX,US,12
1663,Sanibel,FL,US,63
1664,Sansom Park,TX,US,6
1665,Santa Ana,CA,US,18
1666,Santa Barbara,CA,US,45
1667,Santa Barbara County,CA,US,41
1668,Santa Clara,CA,US,24
1669,Santa Clarita,CA,US,31
1670,Santa Claus,IN,US,42
1671,Santa Cruz,CA,US,26
1672,Santa Fe,NM,US,31
1673,Santa Maria,CA,US,35
1674,Santa Monica,CA,US,55
1675,Santa Rosa,NM,US,9
1676,Santa Rosa,CA,US,29
1677,Santaquin,UT,US,40
1678,Santee,CA,US,15
1679,Sarasota,FL,US,6
1680,Saratoga,CA,US,24
1681,Saratoga Springs,NY,US,9
1682,Satellite Beach,FL,US,8
1683,Saugerties,NY,US,15
1684,Savannah,GA,US,8
1685,Scarborough,ME,US,24
1686,Scarsdale,NY,US,3
1687,Scenario 1: NEO 7-mile radius (5-mile bikeshed),AR,US,39
1688,Scenario 1: NEO 7-mile radius (7-mile bikeshed),AR,US,41
1689,Scenario 1: NEO 7-mile radius (default bikeshed),AR,US,38
1690,Scenario 2: NEO 7-mile radius (5-mile bikeshed),AR,US,43
1691,Scenario 2: NEO 7-mile radius (default bikeshed),AR,US,40
1692,Schaumburg,IL,US,35
1693,Schererville,IN,US,8
1694,Schuylkill,PA,US,15
1695,Scotts Valley,CA,US,33
1696,Scottsdale,AZ,US,23
1697,Scranton,PA,US,27
1698,Seagoville,TX,US,19
1699,Searcy,AR,US,12
1700,Seaside,CA,US,60
1701,Seattle,WA,US,63
1702,Sebastopol,CA,US,39
1703,Sebring,FL,US,10
1704,Sedona,AZ,US,54
1705,Seminole,FL,US,7
1706,Senoia,GA,US,9
1707,Severance,CO,US,26
1708,Severna Park,MD,US,19
1709,Shady Shores,TX,US,10
1710,Shaker Heights,OH,US,31
1711,Shakopee,MN,US,27
1712,Shawnee,KS,US,15
1713,Sheboygan,WI,US,58
1714,Shelby,NC,US,10
1715,Sheridan,CO,US,9
1716,Shiloh,IL,US,12
1717,Shoreview,MN,US,34
1718,Shorewood,IL,US,16
1719,Shorewood,WI,US,75
1720,Shreveport,LA,US,19
1721,Sierra Vista,AZ,US,27
1722,Siloam Springs,AR,US,15
1723,Silver City,NM,US,8
1724,Silver Plume,CO,US,12
1725,Silver Spring,MD,US,12
1726,Silverdale,WA,US,14
1727,Silverthorne,CO,US,28
1728,Simi Valley,CA,US,20
1729,Simsbury,CT,US,35
1730,Sioux City,IA,US,28
1731,Sioux Falls,SD,US,24
1732,Skokie,IL,US,5
1733,Slatington,PA,US,35
1734,Smithville,MO,US,25
1735,Smyrna,GA,US,21
1736,Socorro,NM,US,20
1737,Solana Beach,CA,US,30
1738,Soldotna,AK,US,64
1739,Solvang,CA,US,39
1740,Somerville,MA,US,56
1741,Sonoma,CA,US,69
1742,Sonora,CA,US,24
1743,Sopchoppy,FL,US,26
1744,South Bend,IN,US,7
1745,South Burlington,VT,US,38
1746,South Lake Tahoe,CA,US,39
1747,South Miami,FL,US,5
